customer_id,archetype,monthly_income,income_volatility_cv,dti_ratio,savings_rate,liquidity_buffer_days,discretionary_spend_ratio,late_mandate_count_90d,balance_trend_slope,expense_trend_pct,upi_txns_per_day,night_txn_ratio,new_beneficiary_pct,merchant_category_entropy,is_stressed,life_stage
CUST_KIR_00001,kirana_msme,36045.39,0.4064,0.135,0.2674,26.2,0.1665,0,-4304.69,35.58,13.61,0.005,0.1913,0.9818,0,MSME_KIRANA_SEASONAL
CUST_RUR_00002,rural_agri,14935.46,0.3207,0.0805,0.0679,52.2,0.11,0,-1574.84,-3.52,4.46,0.0465,0.0469,1.1672,0,RURAL_AGRI_ALLIED
CUST_GIG_00003,gig_worker,25333.32,0.4758,0.1201,-0.1001,18.9,0.2158,3,-10814.32,12.95,26.45,0.1596,0.101,1.2549,1,EARLY_CAREER_GIG
CUST_GIG_00004,gig_worker,33219.22,0.4459,0.1057,-0.0497,24.8,0.1235,2,1568.16,-18.65,9.7,0.1042,0.109,0.7672,0,EARLY_CAREER_GIG
CUST_SAL_00005,salaried_tier1,25000.0,0.0946,0.5191,0.1509,49.4,0.4449,0,3527.02,28.01,5.36,0.0744,0.0212,2.1172,0,ESTABLISHED_FAMILY_HIGH_DEBT
CUST_SAL_00006,salaried_tier1,49003.14,0.0978,0.3572,0.1957,39.8,0.3434,0,4504.86,5.32,3.06,0.0686,0.044,1.5974,0,ESTABLISHED_FAMILY_HIGH_DEBT
CUST_SAL_00007,salaried_tier1,46330.15,0.0229,0.1711,0.2837,27.4,0.1681,0,9613.84,35.38,4.62,0.0395,0.024,2.5972,0,EARLY_CAREER_SALARIED
CUST_RUR_00008,rural_agri,8000.0,0.4578,0.0267,0.01,10.5,0.122,4,32.56,17.07,5.26,0.03,0.0591,1.1791,0,RURAL_AGRI_ALLIED
CUST_GIG_00009,gig_worker,14366.35,0.5531,0.0564,-0.0546,41.8,0.0924,0,-7115.33,18.05,20.21,0.1229,0.06,1.4215,0,EARLY_CAREER_GIG
CUST_GIG_00010,gig_worker,28255.25,0.2898,0.0032,0.1391,18.8,0.2127,0,10648.39,25.47,26.65,0.1279,0.0451,1.2148,0,EARLY_CAREER_GIG
CUST_SAL_00011,salaried_tier1,89163.72,0.0719,0.5097,0.1994,28.8,0.2739,0,6327.12,13.01,9.6,0.0573,0.0501,2.6815,0,ESTABLISHED_FAMILY_HIGH_DEBT
CUST_RUR_00012,rural_agri,8236.91,0.6083,0.0101,-0.0021,30.8,0.0478,4,-984.62,28.5,1.22,0.0102,0.0638,0.6464,0,RURAL_AGRI_ALLIED
CUST_RUR_00013,rural_agri,28178.17,0.7426,0.0217,0.0615,55.2,0.0766,2,-1843.12,-10.38,5.64,0.0376,0.0759,0.5936,0,RURAL_AGRI_ALLIED
CUST_SAL_00014,salaried_tier1,65503.43,0.0466,0.4303,0.2561,112.6,0.2319,0,11968.36,23.92,2.64,0.0371,0.0483,2.4601,0,ESTABLISHED_FAMILY_HIGH_DEBT
CUST_SAL_00015,salaried_tier1,66621.93,0.0841,0.3238,0.2978,34.0,0.5291,0,15122.4,27.81,9.56,0.0376,0.0808,1.9241,0,EARLY_CAREER_SALARIED
CUST_SAL_00016,salaried_tier1,62660.63,0.0334,0.2919,0.11,21.0,0.3833,1,-13585.33,-5.29,7.98,0.0565,0.0619,1.6973,0,EARLY_CAREER_SALARIED
