customer_id,category,amount,hour_of_day,is_new_beneficiary,is_synthetic_anomaly
CUST_KIR_00001,dining,492.21,14,1,0
CUST_KIR_00001,transfer,1357.41,11,0,0
CUST_KIR_00001,grocery,2721.7,10,0,0
CUST_KIR_00001,fuel,2483.7,10,0,0
CUST_KIR_00001,grocery,2731.84,15,0,0
CUST_KIR_00001,grocery,2088.99,14,0,0
CUST_KIR_00001,transfer,2585.36,11,0,0
CUST_KIR_00001,utility,521.62,17,0,0
CUST_KIR_00001,shopping,700.39,10,0,0
CUST_KIR_00001,transfer,2414.54,19,0,0
CUST_KIR_00001,transfer,398.86,23,0,0
CUST_KIR_00001,grocery,640.78,16,0,0
CUST_KIR_00001,grocery,11307.01,3,1,1
CUST_KIR_00001,utility,1665.81,14,0,0
CUST_KIR_00001,grocery,1014.51,11,0,0
CUST_KIR_00001,transfer,2136.83,21,0,0
CUST_KIR_00001,transfer,744.0,13,0,0
CUST_KIR_00001,grocery,2608.62,23,0,0
CUST_KIR_00001,fuel,1001.66,18,1,0
CUST_KIR_00001,dining,393.16,13,0,0
CUST_KIR_00001,grocery,2553.93,15,1,0
CUST_KIR_00001,grocery,1567.52,10,0,0
CUST_KIR_00001,utility,2819.08,15,0,0
CUST_KIR_00001,grocery,1571.59,20,0,0
CUST_KIR_00001,grocery,2875.03,12,0,0
CUST_KIR_00001,utility,2551.02,22,1,0
CUST_KIR_00001,shopping,831.46,9,0,0
CUST_KIR_00001,grocery,2335.55,12,0,0
CUST_KIR_00001,fuel,2522.1,23,0,0
CUST_KIR_00001,grocery,2002.21,6,0,0
CUST_RUR_00002,grocery,534.74,10,0,0
CUST_RUR_00002,grocery,628.1,15,0,0
CUST_RUR_00002,grocery,707.45,17,1,0
CUST_RUR_00002,dining,1156.65,10,0,0
CUST_RUR_00002,grocery,140.98,3,0,0
CUST_RUR_00002,grocery,578.53,12,0,0
CUST_RUR_00002,utility,397.48,11,0,0
CUST_RUR_00002,grocery,475.57,12,0,0
CUST_RUR_00002,utility,304.77,16,0,0
CUST_RUR_00002,fuel,460.9,19,1,0
CUST_RUR_00002,shopping,727.11,17,0,0
CUST_RUR_00002,transfer,611.06,21,0,0
CUST_RUR_00002,transfer,1000.21,22,1,0
CUST_RUR_00002,utility,740.26,12,0,0
CUST_RUR_00002,transfer,751.44,11,0,0
CUST_RUR_00002,fuel,631.23,14,0,0
CUST_RUR_00002,dining,613.76,13,0,0
CUST_RUR_00002,utility,427.16,12,0,0
CUST_RUR_00002,shopping,217.71,15,0,0
CUST_RUR_00002,utility,653.66,19,0,0
CUST_RUR_00002,emi,958.41,17,0,0
CUST_RUR_00002,emi,402.31,8,0,0
CUST_RUR_00002,shopping,513.54,17,0,0
CUST_RUR_00002,grocery,135.48,18,0,0
CUST_RUR_00002,dining,337.8,20,0,0
CUST_RUR_00002,dining,229.01,15,0,0
CUST_RUR_00002,shopping,991.56,19,0,0
CUST_RUR_00002,grocery,347.27,10,0,0
CUST_RUR_00002,fuel,909.32,0,0,0
CUST_RUR_00002,utility,1184.86,14,0,0
CUST_GIG_00003,fuel,879.62,16,0,0
CUST_GIG_00003,fuel,1435.6,17,0,0
CUST_GIG_00003,dining,1962.97,7,0,0
CUST_GIG_00003,shopping,340.64,6,0,0
CUST_GIG_00003,fuel,5727.68,2,1,1
CUST_GIG_00003,dining,1047.65,21,0,0
CUST_GIG_00003,fuel,1832.16,17,0,0
CUST_GIG_00003,grocery,755.1,21,1,0
CUST_GIG_00003,fuel,1807.39,13,0,0
CUST_GIG_00003,shopping,1921.39,13,0,0
CUST_GIG_00003,grocery,1834.46,3,0,0
CUST_GIG_00003,grocery,689.21,13,0,0
CUST_GIG_00003,emi,987.74,21,0,0
CUST_GIG_00003,emi,1408.98,8,0,0
CUST_GIG_00003,fuel,12355.69,1,1,1
CUST_GIG_00003,dining,221.26,7,0,0
CUST_GIG_00003,dining,1039.76,14,0,0
CUST_GIG_00003,fuel,254.88,6,0,0
CUST_GIG_00003,grocery,254.57,0,0,0
CUST_GIG_00003,grocery,658.79,11,0,0
CUST_GIG_00003,emi,1244.26,12,0,0
CUST_GIG_00003,grocery,949.72,16,0,0
CUST_GIG_00003,shopping,1265.79,15,1,0
CUST_GIG_00003,medical,215.69,4,1,0
CUST_GIG_00003,fuel,223.89,0,0,0
CUST_GIG_00003,utility,558.9,18,0,0
CUST_GIG_00003,fuel,1751.52,18,0,0
CUST_GIG_00003,utility,532.99,22,0,0
