Date,Narration,ChqRef,Withdrawal,Deposit,Balance
01/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77001,,3950.00,35950.00
02/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77002,,4100.00,40050.00
03/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77003,,4250.00,44300.00
04/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77004,,4400.00,48700.00
05/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77005,,4550.00,53250.00
06/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77006,,4700.00,57950.00
07/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77007,,4850.00,62800.00
08/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77008,,5000.00,67800.00
09/06/2026,UPI/CR/Paytm QR Settlement/Surat Kirana,UPI77009,,5150.00,72950.00
10/06/2026,IMPS/WHOLESALE GRAIN DISTRIBUTORS/SUPPLIER,IMPS001,24500.00,,48450.00
12/06/2026,NACH/BAJAJ FINANCE/BUSINESS LOAN EMI,NACH001,8500.00,,39950.00
15/06/2026,UPI/Torrent Power Commercial Electricity,UPI008,3200.00,,36750.00
16/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77116,,5480.00,42230.00
17/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77117,,5560.00,47790.00
18/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77118,,5640.00,53430.00
19/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77119,,5720.00,59150.00
20/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77120,,5800.00,64950.00
21/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77121,,5880.00,70830.00
22/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77122,,5960.00,76790.00
23/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77123,,6040.00,82830.00
24/06/2026,UPI/CR/PhonePe Merchant Collection/Customer,UPI77124,,6120.00,88950.00
26/06/2026,NEFT/HINDUSTAN UNILEVER WHOLESALE/STOCK,NEFT002,31000.00,,57950.00
01/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88001,,4220.00,62170.00
02/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88002,,4340.00,66510.00
03/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88003,,4460.00,70970.00
04/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88004,,4580.00,75550.00
05/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88005,,4700.00,80250.00
06/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88006,,4820.00,85070.00
