Date,Narration,ChqRef,Withdrawal,Deposit,Balance
02/06/2026,NEFT CR-INFOSYS BPO-SALARY JUNE,NEFT7101,,42000.00,107000.00
05/06/2026,NACH/HDFC BANK/PERSONAL LOAN EMI,ACH7102,14500.00,,92500.00
07/06/2026,NACH/CHOLAMANDALAM/TWO WHEELER EMI,ACH7103,4200.00,,88300.00
10/06/2026,UPI/RENT PAYMENT/LANDLORD,UPI7104,12000.00,,76300.00
14/06/2026,UPI/DMart Provision/Groceries,UPI7105,4500.00,,71800.00
18/06/2026,UPI/Electricity Bill Torrent,UPI7106,1900.00,,69900.00
02/07/2026,NEFT CR-INFOSYS BPO-SALARY JULY,NEFT7201,,42000.00,111900.00
05/07/2026,NACH/HDFC BANK/PERSONAL LOAN EMI,ACH7202,14500.00,,97400.00
07/07/2026,NACH/CHOLAMANDALAM/TWO WHEELER EMI,ACH7203,4200.00,,93200.00
10/07/2026,UPI/RENT PAYMENT/LANDLORD,UPI7204,12000.00,,81200.00
15/07/2026,POS/APOLLO MULTISPECIALTY HOSPITAL/ICU DEPOSIT,POS7205,38500.00,,42700.00
18/07/2026,UPI/MEDPLUS PHARMACY/EMERGENCY MEDICINES,UPI7206,8400.00,,34300.00
22/07/2026,UPI/DIAGNOSTIC LAB CLINIC/BLOOD TEST,UPI7207,3600.00,,30700.00
02/08/2026,NEFT CR-INFOSYS BPO-SALARY AUGUST,NEFT7301,,42000.00,72700.00
05/08/2026,NACH/HDFC BANK/PERSONAL LOAN EMI,ACH7302,14500.00,,58200.00
07/08/2026,NACH/CHOLAMANDALAM/TWO WHEELER EMI,ACH7303,4200.00,,54000.00
10/08/2026,UPI/RENT PAYMENT/LANDLORD,UPI7304,12000.00,,42000.00
14/08/2026,POS/APOLLO HOSPITAL FOLLOWUP/CONSULT,POS7305,6500.00,,35500.00
18/08/2026,UPI/PHARMACY REFILL MEDICINES,UPI7306,4200.00,,31300.00
25/08/2026,ACH DEBIT RETURN/PENALTY CHARGE,CHG7307,590.00,,30710.00
02/09/2026,NEFT CR-INFOSYS BPO-SALARY SEPT,NEFT7401,,42000.00,72710.00
05/09/2026,NACH/HDFC BANK/PERSONAL LOAN EMI,ACH7402,14500.00,,58210.00
07/09/2026,NACH/CHOLAMANDALAM/TWO WHEELER EMI,ACH7403,4200.00,,54010.00
10/09/2026,UPI/RENT PAYMENT/LANDLORD,UPI7404,12000.00,,42010.00
