Date,Narration,ChqRef,Withdrawal,Deposit,Balance
01/06/2026,NEFT CR-TCS LTD-SALARY JUNE 2026,NEFT98124,,58000.00,106500.00
03/06/2026,UPI/RENT/Shri Ganesh Properties/HDFC,UPI00129,18000.00,,88500.00
05/06/2026,ACH/SIP/ZERODHA BROKING/NIPPON MF,ACH88120,5000.00,,83500.00
07/06/2026,UPI/DMart Supermarket/Groceries,UPI00341,4250.00,,79250.00
10/06/2026,UPI/BESCOM Electricity Bill Pay,UPI00452,1850.00,,77400.00
14/06/2026,UPI/Zomato Dining/Bangalore,UPI00563,840.00,,76560.00
18/06/2026,UPI/Apollo Pharmacy/Health,UPI00674,1200.00,,75360.00
22/06/2026,UPI/Blinkit Instant Groceries,UPI00785,760.00,,74600.00
25/06/2026,UPI/Amazon Retail Shopping,UPI00896,2499.00,,72101.00
28/06/2026,UPI/Indian Oil Petrol/Fuel,UPI00907,1500.00,,70601.00
01/07/2026,NEFT CR-TCS LTD-SALARY JULY 2026,NEFT99235,,58000.00,128601.00
03/07/2026,UPI/RENT/Shri Ganesh Properties/HDFC,UPI01140,18000.00,,110601.00
05/07/2026,ACH/SIP/ZERODHA BROKING/NIPPON MF,ACH89231,5000.00,,105601.00
08/07/2026,UPI/BigBasket Fresh Groceries,UPI01251,3900.00,,101701.00
11/07/2026,UPI/Airtel Broadband Utilities,UPI01362,1199.00,,100502.00
15/07/2026,UPI/Swiggy Food Delivery,UPI01473,620.00,,99882.00
20/07/2026,UPI/Uber India Transport,UPI01584,450.00,,99432.00
24/07/2026,UPI/Medplus Pharmacy/Health,UPI01695,950.00,,98482.00
29/07/2026,UPI/Shell Petrol Pump/Fuel,UPI01706,1800.00,,96682.00
01/08/2026,NEFT CR-TCS LTD-SALARY AUGUST 2026,NEFT00346,,58000.00,154682.00
03/08/2026,UPI/RENT/Shri Ganesh Properties/HDFC,UPI02150,18000.00,,136682.00
05/08/2026,ACH/SIP/ZERODHA BROKING/NIPPON MF,ACH90342,5000.00,,131682.00
08/08/2026,UPI/DMart Supermarket/Groceries,UPI02261,4600.00,,127082.00
12/08/2026,UPI/BESCOM Electricity Bill Pay,UPI02372,1720.00,,125362.00
16/08/2026,UPI/BookMyShow Cinema/PVR,UPI02483,920.00,,124442.00
21/08/2026,UPI/Myntra Shopping/Retail,UPI02594,2150.00,,122292.00
26/08/2026,UPI/Bharat Petroleum IOCL,UPI02605,1600.00,,120692.00
30/08/2026,UPI/Zepto Grocery Delivery,UPI02716,840.00,,119852.00
01/09/2026,NEFT CR-TCS LTD-SALARY SEPT 2026,NEFT01457,,58000.00,177852.00
03/09/2026,UPI/RENT/Shri Ganesh Properties/HDFC,UPI03160,18000.00,,159852.00
05/09/2026,ACH/SIP/ZERODHA BROKING/NIPPON MF,ACH91453,5000.00,,154852.00
08/09/2026,UPI/Reliance Fresh Groceries,UPI03271,3200.00,,151652.00
